0
"409 LOMO DE CEBO IBERICO 50% RI EN MITADES  31,90€/KG"
"409 LOMO DE CEBO IBERICO 50% RI PIEZA 0.700 KG  22,30€/PZA."
409-C LOMO DE CEBO IBERICO 50% RI MITADES PIEZA 0.600 KG APROX
409-C LOMO DE CEBO IBERICO 50% RI MITADES PIEZA 0.500 KG APROX
"412 LOMO ETIQUETA ORO ENTEROS  33,75€/KG"
"412 LOMO ETIQUETA ORO EN MITADES  34,40€/KG"
"412 LOMO ETIQUETA ORO PIEZA 0.700 KG  24,05€/PZA."
"410 LOMO HUNGARO ENTEROS  17,25€/KG"
"410 LOMO HUNGARO EN MITADES  17,25€/KG"
"500 CHORIZO IBE BELLOTA ENTEROS  13,75€/KG"
"500 CHORIZO IBE BELLOTA EN MITADES  14,05€/KG"
"500 CHORIZO IBE BELLOTA PIEZA 0.500 KG  7,05€/PZA."
"502 CHORIZO IBE HERRADURA   12,50€/KG"
"501 CHORIZO IBERICO ENTEROS  12,50€/KG"
"501 CHORIZO IBERICO EN MITADES  12,80€/KG"
"501 CHORIZO IBERICO PIEZA 0.500 KG  6,45€/PZA."
"503 CHORIZO IBERICO VELA   3,20€/PZA"
"504 MORCON DE BELLOTA IBERICO ENTEROS  13,75€/KG"
"504 MORCON DE BELLOTA IBERICO EN MITADES  14,05€/KG"
504 MORCON DE BELLOTA IBERICO PIEZA 0.900 KG
"600 SALCHICHON IBE BELLOTA ENTEROS  13,75€/KG"
"600 SALCHICHON IBE BELLOTA EN MITADES  14,05€/KG"
"600 SALCHICHON IBE BELLOTA PIEZA 0.500 KG  7,05€/KG  7,05€/PZA."
"601 SALCHICHON IBERICO ENTEROS  12,50€/KG"
"601 SALCHICHON IBERICO EN MITADES  12,80€/KG"
"601 SALCHICHON IBERICO PIEZA 0.500 KG  6,45€/PZA."
"602 SALCHICHON IBERICO HERRADURA   12,50€/KG"
"603 SALCHICHÓN IBÉRICO VELA   3,15€/PZA"
"607 BIPACK SALCHICHON IB BELLOTA EXTRA 50+50 GM .  2,12€/SOBRE"
